Error J1	Error J2	Position J1	Position J2	desTorque1	desTorque2	coriolis1	coriolis2	grav1	grav2	time	
0.986471	-5.99097	-3.08087	5.99097	-2.94114	-1.62193	0.147966	-0.010858	16.5586	22.5547	1.26355	
0.98579	-5.98769	-3.08018	5.98769	-1.73691	-0.958315	0.156627	-0.0114917	16.7407	22.804	1.27153	
0.98353	-5.97678	-3.07793	5.97678	1.10728	0.613436	0.15746	-0.0115465	17.3434	23.6295	1.29544	
0.983647	-5.97735	-3.07804	5.97735	-3.16467	-1.75067	0.161958	-0.0118766	17.3124	23.587	1.29544	
0.986197	-5.98965	-3.08059	5.98965	-7.55863	-4.17039	0.15107	-0.0110851	16.6318	22.6549	1.26667	
0.982233	-5.97052	-3.07663	5.97052	4.17261	2.31343	0.171845	-0.0125972	17.689	24.103	1.31138	
0.982219	-5.97046	-3.07661	5.97046	-2.92498	-1.62065	0.164462	-0.0120557	17.6926	24.108	1.31138	
0.981531	-5.96713	-3.07593	5.96713	-1.7097	-0.947782	0.176364	-0.0129261	17.8758	24.359	1.31936	
0.979156	-5.95567	-3.07355	5.95567	1.32295	0.736648	0.176881	-0.0129567	18.5063	25.2237	1.34327	
0.979321	-5.95647	-3.07372	5.95647	-3.23348	-1.79775	0.181788	-0.0133163	18.4626	25.1637	1.34327	
0.983241	-5.97539	-3.07764	5.97539	-10.0049	-5.53841	0.164485	-0.0120606	17.4205	23.7351	1.3	
0.980226	-5.96083	-3.07462	5.96083	2.47058	1.37329	0.176439	-0.0129275	18.2225	24.8344	1.33333	
0.97787	-5.94946	-3.07227	5.94946	1.28991	0.719426	0.192694	-0.0141102	18.8469	25.691	1.35921	
0.977857	-5.9494	-3.07225	5.9494	-2.90645	-1.61872	0.187699	-0.0137442	18.8506	25.696	1.35921	
0.977136	-5.94592	-3.07153	5.94592	-1.63728	-0.912361	0.197498	-0.0144592	19.0412	25.9577	1.36718	
0.974777	-5.93453	-3.06917	5.93453	1.30114	0.728577	0.197135	-0.0144241	19.6642	26.8131	1.3911	
0.974887	-5.93506	-3.06928	5.93506	-3.1149	-1.74132	0.203008	-0.0148541	19.6353	26.7734	1.3911	
0.977165	-5.94606	-3.07156	5.94606	-7.01174	-3.90944	0.192125	-0.014066	19.0335	25.947	1.36667	
0.973401	-5.92788	-3.0678	5.92788	3.81447	2.13829	0.214538	-0.015692	20.0267	27.3112	1.40704	
0.973388	-5.92781	-3.06778	5.92781	-2.88836	-1.61774	0.20619	-0.0150811	20.0302	27.3161	1.40704	
0.972662	-5.92431	-3.06706	5.92431	-1.61221	-0.903478	0.219824	-0.0160755	20.2212	27.5786	1.41501	
0.970189	-5.91236	-3.06458	5.91236	1.51199	0.851795	0.218975	-0.0160035	20.8704	28.4714	1.43893	
0.973553	-5.92861	-3.06795	5.92861	-8.92861	-5.00135	0.213342	-0.0156051	19.9868	27.2564	1.40542	
0.973542	-5.92856	-3.06794	5.92856	-2.89367	-1.62039	0.21978	-0.0160758	19.9896	27.2603	1.40542	
0.972839	-5.92516	-3.06723	5.92516	-1.65344	-0.926387	0.218222	-0.0159592	20.1747	27.5146	1.41257	
0.970889	-5.91574	-3.06528	5.91574	0.577199	0.325384	0.217232	-0.0158781	20.6868	28.2188	1.43405	
0.973691	-5.92928	-3.06809	5.92928	-7.92453	-4.43803	0.212254	-0.015526	19.9504	27.2063	1.40393	
0.973682	-5.92924	-3.06808	5.92924	-2.89807	-1.62256	0.217004	-0.0158733	19.9526	27.2094	1.40393	
0.973059	-5.92622	-3.06745	5.92622	-1.79625	-1.00618	0.216598	-0.0158413	20.1168	27.4351	1.41035	
0.971291	-5.91768	-3.06569	5.91768	0.252361	0.14266	0.217456	-0.0158963	20.5814	28.0738	1.42959	
0.971244	-5.91746	-3.06564	5.91746	-2.8201	-1.58395	0.222867	-0.0162921	20.5936	28.0906	1.42959	
0.974053	-5.93103	-3.06845	5.93103	-7.93965	-4.44441	0.208342	-0.0152412	19.855	27.0752	1.4	
0.970021	-5.91155	-3.06442	5.91155	4.29129	2.41649	0.232155	-0.0169658	20.9143	28.5318	1.44242	
0.970013	-5.91151	-3.06441	5.91151	-2.88355	-1.6223	0.224783	-0.0164269	20.9164	28.5346	1.44242	
0.969414	-5.90862	-3.06381	5.90862	-1.82727	-1.02855	0.237035	-0.0173197	21.0732	28.7505	1.44884	
0.967413	-5.89895	-3.06181	5.89895	0.676438	0.383104	0.238314	-0.0174045	21.5964	29.4708	1.46808	
0.967521	-5.89947	-3.06192	5.89947	-3.07976	-1.73872	0.24344	-0.0177792	21.5681	29.4318	1.46808	
0.970887	-5.91573	-3.06528	5.91573	-8.9086	-5.00785	0.225335	-0.0164711	20.6874	28.2196	1.43333	
0.967659	-5.90014	-3.06205	5.90014	2.85802	1.61504	0.242336	-0.0176992	21.5321	29.3822	1.46667	
0.966273	-5.89343	-3.06067	5.89343	-0.414737	-0.233716	0.253932	-0.0185396	21.8938	29.8805	1.48091	
