Error J1	Error J2	Error J3	Position J1	Position J2	Position J3	desTorque1	desTorque2	desTorque3	coriolis1	coriolis2	coriolis3	grav1	grav2	grav3	time	
-0.832296	0.0165011	0.0497947	-0.214901	0.681631	-0.0497947	-217.914	-95.5922	-0.0140779	2.65324	0.200014	-0.000691206	21.5561	11.1528	0.0108812	0.0179534	
-0.833825	0.011398	0.0556491	-0.213372	0.686734	-0.0556491	-237.266	-107.283	-0.0142973	-0.201562	4.29734	-0.000377755	21.5446	11.1738	0.0109062	0.0186804	
-0.833829	0.0113948	0.055652	-0.213369	0.686737	-0.055652	-215.333	-94.0525	-0.014131	-0.20599	4.30369	-0.000377352	21.5446	11.1738	0.0109062	0.0186804	
-0.83539	0.00710108	0.0601393	-0.211807	0.691031	-0.0601393	-236.484	-106.736	-0.0144027	-2.11224	7.82105	-0.000223822	21.538	11.1853	0.0109205	0.019165	
-0.835745	0.0065525	0.0605011	-0.211453	0.691579	-0.0605011	-219.968	-96.799	-0.0142461	-2.01923	7.61085	-0.000226505	21.5387	11.1836	0.010919	0.019165	
-0.836958	0.003815	0.0631401	-0.210239	0.694317	-0.0631401	-231.347	-103.561	-0.0144145	-2.83882	9.27756	-0.000169638	21.5363	11.1872	0.0109244	0.0194073	
-0.841552	-0.00557444	0.0718592	-0.205645	0.703706	-0.0718592	-271.312	-126.865	-0.0152495	-4.9089	13.9974	-5.83233e-05	21.5307	11.1938	0.0109367	0.0201343	
-0.841555	-0.00558561	0.071866	-0.205642	0.703717	-0.071866	-219.373	-96.6125	-0.0142113	-4.91198	14.0028	-5.82212e-05	21.5308	11.1938	0.0109367	0.0201343	
-0.847911	-0.0177385	0.0829575	-0.199286	0.71587	-0.0829575	-292.325	-138.92	-0.0157912	-6.9324	19.4703	-1.14183e-05	21.5258	11.198	0.0109482	0.0210093	
-0.848841	-0.0185626	0.0835531	-0.198357	0.716694	-0.0835531	-230.713	-102.915	-0.0145897	-6.40599	18.0025	-1.31035e-05	21.5273	11.1936	0.0109446	0.0210093	
-0.852938	-0.0249714	0.0894133	-0.19426	0.723103	-0.0894133	-266.169	-123.182	-0.0154294	-6.67049	18.8412	-1.09484e-05	21.5261	11.1914	0.0109469	0.0214468	
-0.866499	-0.0436999	0.106911	-0.180698	0.741832	-0.106911	-361.525	-175.607	-0.0183407	-6.07798	17.3586	-1.76202e-05	21.5241	11.1793	0.0109494	0.0227593	
