Error J1	Error J2	Error J3	Position J1	Position J2	Position J3	desTorque1	desTorque2	desTorque3	coriolis1	coriolis2	coriolis3	grav1	grav2	grav3	time	
0.846787	-1.59656	0.343828	0.0258774	-0.0324103	0.0052375	0.196242	0.0463668	-0.0192195	0.000222556	0.000158016	0.00120161	0.218163	0.140999	-0.400609	0.20969	
0.846722	-1.59648	0.343815	0.025943	-0.0324931	0.00525093	0.269726	0.0655753	-0.024424	0.000218826	0.000155142	0.00118463	0.21796	0.141047	-0.400608	0.20969	
0.845517	-1.59497	0.34357	0.0271476	-0.0340048	0.00549546	0.23101	0.0551285	-0.0220006	0.000222349	0.000153292	0.00126739	0.214204	0.141905	-0.400584	0.214781	
0.841549	-1.58999	0.342764	0.031116	-0.0389868	0.00630149	0.136491	0.029513	-0.0162296	0.000196271	0.000119094	0.00135574	0.201832	0.144738	-0.400507	0.230055	
0.841682	-1.59015	0.342791	0.0309826	-0.0388194	0.00627442	0.272051	0.0646899	-0.0260358	0.000204181	0.000124578	0.0014004	0.202249	0.144643	-0.400509	0.230055	
0.84896	-1.59929	0.344269	0.0237045	-0.0296846	0.00479667	0.514225	0.129712	-0.0416322	0.000218516	0.000161802	0.00108217	0.224942	0.139454	-0.400651	0.2	
0.83907	-1.58687	0.342261	0.0335941	-0.042099	0.00680511	-0.0612078	-0.0224967	-0.00271142	0.000193933	0.000103612	0.00154507	0.19411	0.14651	-0.400458	0.240237	
0.839003	-1.58679	0.342247	0.0336613	-0.0421839	0.0068189	0.263253	0.0616636	-0.0261135	0.000182236	9.69429e-05	0.00145755	0.193902	0.14656	-0.400456	0.240237	
0.837702	-1.58516	0.341982	0.0349622	-0.0438186	0.00708348	0.221522	0.0505266	-0.0234041	0.000185576	8.97475e-05	0.00161529	0.189851	0.147493	-0.40043	0.245328	
0.832913	-1.57914	0.341008	0.0397521	-0.0498383	0.00805794	0.102941	0.0187732	-0.0158729	0.000132019	2.56978e-05	0.00170553	0.174935	0.15093	-0.400335	0.260602	
0.833313	-1.57964	0.341089	0.0393519	-0.0493359	0.00797665	0.273844	0.0626974	-0.0285243	0.000141046	3.23446e-05	0.00175024	0.176183	0.150644	-0.400343	0.260602	
0.840834	-1.58909	0.342619	0.0318308	-0.0398847	0.00644681	0.514094	0.126504	-0.0445599	0.000200922	0.000118132	0.00144315	0.199606	0.14525	-0.400493	0.233333	
0.830384	-1.57596	0.340493	0.0422805	-0.0530181	0.00857286	-0.0850291	-0.0300464	-0.00254278	0.000110186	-1.22558e-05	0.00191373	0.167068	0.152751	-0.400284	0.270784	
0.830316	-1.57587	0.340479	0.042349	-0.0531051	0.00858701	0.255971	0.0572534	-0.0280152	0.000103225	-1.26077e-05	0.00180857	0.166857	0.152802	-0.400282	0.270784	
0.828862	-1.57404	0.340183	0.043803	-0.0549344	0.00888328	0.209383	0.0449769	-0.0248695	9.06142e-05	-3.84944e-05	0.0019868	0.162334	0.153851	-0.400252	0.275875	
0.823579	-1.56739	0.339106	0.049086	-0.0615827	0.00996021	0.0800166	0.0107995	-0.0163002	7.77231e-06	-0.000133853	0.00206959	0.145907	0.157667	-0.400144	0.291149	
0.823999	-1.56792	0.339191	0.0486652	-0.0610539	0.0098746	0.26665	0.0580522	-0.0306621	1.51567e-05	-0.000129429	0.00212064	0.147218	0.157366	-0.400153	0.291149	
0.831543	-1.57741	0.340729	0.0411213	-0.051561	0.00833695	0.505496	0.120612	-0.0472955	0.000122312	6.34594e-06	0.0018337	0.170676	0.151918	-0.400307	0.266667	
0.820764	-1.56385	0.338531	0.0519001	-0.0651269	0.0105345	-0.101585	-0.0357324	-0.00296497	-4.27129e-05	-0.000204266	0.00229695	0.137165	0.159708	-0.400086	0.301331	
0.820697	-1.56376	0.338517	0.0519681	-0.0652134	0.0105486	0.247978	0.0523784	-0.0301249	-4.15987e-05	-0.000194959	0.00217834	0.136956	0.15976	-0.400084	0.301331	
0.819093	-1.56174	0.33819	0.0535714	-0.0672335	0.010876	0.196686	0.0390621	-0.0265091	-7.57734e-05	-0.000245516	0.00237474	0.131978	0.160925	-0.400051	0.306422	
0.813342	-1.55449	0.337015	0.0593231	-0.0744825	0.0120511	0.0574836	0.00286435	-0.0168519	-0.000190578	-0.000374562	0.0024403	0.114125	0.16511	-0.39993	0.321696	
0.813781	-1.55504	0.337104	0.0588841	-0.07393	0.0119616	0.258602	0.0528974	-0.0330005	-0.00018651	-0.000374557	0.00250328	0.11549	0.164793	-0.399939	0.321696	
0.821135	-1.56431	0.338607	0.0515292	-0.0646607	0.010459	0.488864	0.112228	-0.0498007	-3.5044e-05	-0.000192219	0.00224238	0.13832	0.159442	-0.400093	0.3	
0.810252	-1.55059	0.336383	0.0624125	-0.0783793	0.0126831	-0.111151	-0.0396747	-0.0039933	-0.000277085	-0.000485801	0.00269057	0.104545	0.167367	-0.399864	0.331878	
0.810185	-1.55051	0.336369	0.0624798	-0.0784654	0.0126971	0.239243	0.0470393	-0.0324294	-0.00026504	-0.000463903	0.00256116	0.10434	0.167419	-0.399862	0.331878	
